key,press,release
key.space,847.6356360000001,847.722601
key.backspace,848.1873330000001,848.318244
key.comma,848.5083010000001,848.6252320000001
key.space,848.6831980000001,848.843705
key.h,848.9316530000001,849.034579
key.e,849.1075360000001,849.1954880000001
key.l,849.293431,849.395386
key.p,849.4973130000001,849.6142430000001
key.i,849.804169,849.877146
key.n,850.038092,850.1400520000001
key.g,850.1850270000001,850.299979
key.space,850.343973,850.4169310000001
key.h,851.129322,851.216272
key.u,851.2752380000001,851.3771790000001
key.m,851.523416,851.6213610000001
key.a,851.7243100000001,851.8262430000001
key.n,852.2645150000001,852.3664570000001
key.i,852.4544070000001,852.600321
key.t,852.658303,852.829189
key.y,852.830189,852.9756520000001
key.space,853.9253520000001,854.0232960000001
key.r,854.169212,854.271152
key.e,854.358724,854.4746570000001
key.a,854.6955290000001,854.768055
key.c,854.9569610000001,855.015929
key.h,855.4646700000001,855.537627
key.space,855.728502,855.81452
key.f,856.3076570000001,856.3946080000001
key.o,856.4245890000001,856.5275300000001
key.r,856.5415220000001,856.6444620000001
key.space,856.6864390000001,856.79038
key.t,856.79038,856.8773120000001
key.h,856.93628,857.02323
key.e,857.053613,857.155554
key.space,857.227527,857.315461
key.s,857.403411,857.5013550000001
key.t,857.677128,857.7786480000001
key.a,857.836751,857.939693
key.r,857.9536830000001,858.057624
key.s,858.7393000000001,858.870227
key.period,859.5424660000001,859.6154250000001
key.space,859.659399,859.771336
key.enter,861.767875,861.883806
key.caps_lock,863.277721,863.408629
key.w,863.979543,864.095801
key.caps_lock,864.2118280000001,864.3288020000001
key.h,864.372776,864.4997060000001
key.e,865.040793,865.157733
key.n,865.171724,865.2886550000001
key.space,865.507548,865.63549
key.t,865.7668180000001,865.898727
key.h,865.8997260000001,866.058517
key.e,866.0885000000001,866.2198510000001
key.space,866.2778030000001,866.4097260000001
key.s,866.8154920000001,866.9314330000001
key.p,866.990399,867.1213240000001
key.a,867.1213240000001,867.2232670000001
key.c,867.399163,867.516102
key.e,867.7199860000001,867.836932
key.space,867.8379170000001,867.978835
key.p,868.840553,868.942494
key.r,869.0014610000001,869.1293720000001
key.o,869.2163220000001,869.3042720000001
key.g,869.713069,869.8300220000001
key.r,869.9759560000001,870.0629090000001
key.a,870.27835,870.3952820000001
key.m,870.3952820000001,870.5122140000001
key.space,871.5448220000001,871.66177
key.b,871.8506610000001,871.953601
key.e,871.9975750000001,872.113508
key.g,872.4501550000001,872.5521030000001
key.a,872.622062,872.7379960000001
key.n,873.961001,874.04795
key.space,874.1938660000001,874.281815
key.i,874.661596,874.8225040000001
key.n,874.866478,875.0083960000001
key.space,877.7600530000001,877.890706
key.1,878.719228,878.8511520000001
key.9,878.8511520000001,878.9680860000001
key.5,879.4788520000001,879.576815
key.9,881.046601,881.1345510000001
key.comma,882.1969760000001,882.2849450000001
key.space,882.5325260000001,882.6194760000001
key.t,882.9271160000001,883.0290560000001
key.h,883.084024,883.185506
key.e,883.200495,883.3614180000001
key.r,883.3914010000001,883.507319
key.e,883.5373010000001,883.6539720000001
key.space,883.7409220000001,883.842878
key.w,883.8868530000001,884.0037850000001
key.e,884.0767430000001,884.218646
key.r,884.4985,884.687392
key.e,884.7163750000001,884.9345380000001
key.space,885.154396,885.271328
key.o,885.763044,885.850993
key.n,885.9680430000001,886.055008
key.l,886.2009320000001,886.288451
key.y,886.3913920000001,886.508325
key.space,886.523316,886.6360860000001
key.s,886.9856440000001,887.11837
key.e,887.2488830000001,887.3796460000001
key.v,888.9199910000001,889.022363
key.e,889.052347,889.1832740000001
key.n,889.563122,889.665073
key.space,890.2446090000001,890.3325590000001
key.s,890.741695,890.872656
key.u,891.0337010000001,891.135707
key.c,891.262682,891.364639
key.h,891.3796490000001,891.481609
key.space,891.6275440000001,891.715716
key.p,891.920613,892.0366590000001
key.e,892.095624,892.182723
key.o,892.183708,892.2416760000001
key.p,892.384226,892.4721740000001
key.l,892.603111,892.691045
key.e,892.806994,892.9239610000001
key.space,893.0120430000001,893.1139840000001
key.i,893.450357,893.5483
key.n,893.7961560000001,893.8841070000001
key.space,894.0010380000001,894.102978
key.t,894.131962,894.2488950000001
key.h,894.249895,894.409802
key.e,894.4108020000001,894.511743
key.space,894.526736,894.643668
key.e,894.7126270000001,894.828647
key.n,894.814655,894.975625
key.t,895.1065550000001,895.267463
key.i,895.3104380000001,895.4432370000001
key.r,895.4722220000001,895.589153
key.e,895.71955,895.861972
key.space,896.5629550000001,896.6951230000001
key.c,896.9717380000001,897.0996650000001
key.o,897.230619,897.36256
key.u,897.5226250000001,897.61063
key.n,897.8146,897.9315330000001
key.t,898.0775000000001,898.1904280000001
key.r,898.336658,898.453604
key.y,898.4975790000001,898.5856520000001
key.period,899.6326210000001,899.719635
key.space,899.7496160000001,899.8805980000001
key.caps_lock,900.1287590000001,900.245664
key.t,900.2896390000001,900.3775870000001
key.caps_lock,900.3915790000001,900.4795290000001
key.h,900.5345040000001,900.6654400000001
key.e,900.7234070000001,900.8273310000001
key.y,900.8700990000001,901.0165730000001
key.space,901.0175730000001,901.1916890000001
key.a,901.6841240000001,901.786068
key.l,901.8590240000001,901.9619660000001
key.l,902.034922,902.121887
key.space,902.311772,902.4286060000001
key.w,902.6036220000001,902.7936520000001
key.e,902.877609,902.950582
key.r,903.5352230000001,903.666224
key.e,903.7102060000001,903.8703790000001
key.space,904.086311,904.216612
key.t,904.3485350000001,904.479459
key.h,904.494451,904.6256070000001
key.e,904.698562,904.830546
key.n,904.918488,905.0495900000001
key.space,905.8335940000001,906.052527
key.-,906.3845650000001,906.4864980000001
key.-,906.618422,906.721398
key.space,907.188207,907.349151
key.o,907.9143640000001,908.0023150000001
key.r,908.1331210000001,908.2500560000001
key.space,908.3090350000001,908.4399440000001
key.h,908.600583,908.713602
key.a,908.7565910000001,908.8885100000001
key.d,909.123044,909.2389770000001
key.space,909.7356020000001,909.877564
key.b,910.520165,910.623091
key.e,910.710041,910.812982
key.e,910.914939,911.012901
key.n,911.0278920000001,911.129852
key.space,911.260796,911.3777130000001
key.i,911.5968660000001,911.7138140000001
key.n,911.771782,911.8887090000001
key.space,912.0056810000001,912.137604
key.t,912.2065640000001,912.338508
key.h,912.338508,912.469452
key.e,912.5564240000001,912.6885480000001
key.space,912.7325490000001,912.8344960000001
key.o,913.097348,913.257329
key.backspace,913.7801280000001,913.911092
key.p,914.158988,914.261932
key.a,914.3198990000001,914.4368320000001
key.s,914.6956970000001,914.797624
key.y,915.060472,915.1034480000001
key.t,915.6295940000001,915.7425400000001
key.backspace,916.2392530000001,916.3561860000001
key.backspace,916.428211,916.5454370000001
key.t,916.574419,916.7057070000001
key.space,918.0984050000001,918.2152150000001
key.-,919.6275320000001,919.759442
key.-,920.0233400000001,920.0952990000001
key.space,920.603241,920.777543
key.i,921.1855710000001,921.288493
key.n,921.3614650000001,921.473387
key.space,921.751479,921.882423
key.t,922.0144190000001,922.1163620000001
key.h,922.1013690000001,922.2184570000001
key.e,922.2624440000001,922.408575
key.space,922.423566,922.52552
key.a,922.81343,922.9165290000001
key.r,923.1197960000001,923.192768
key.m,923.3536690000001,923.4706010000001
key.e,923.528587,923.718703
key.d,923.732695,923.846302
key.space,923.9622340000001,924.064252
key.f,924.1381940000001,924.225454
key.o,924.3134040000001,924.444328
key.r,924.459319,924.5612600000001
key.c,924.7949470000001,924.8824330000001
key.e,924.9410120000001,925.1269020000001
key.d,925.185871,925.2288440000001
key.backspace,925.7548250000001,925.9297240000001
key.s,925.885752,926.0326650000001
key.period,926.5538180000001,926.6707520000001
key.space,926.6417690000001,926.7876990000001
key.caps_lock,927.790565,927.9226530000001
key.m,927.965628,928.0824640000001
key.caps_lock,928.0244980000001,928.1414990000001
key.o,928.185459,928.301407
key.s,928.345369,928.516781
key.t,928.532772,928.6486910000001
key.space,928.736655,928.8678950000001
key.o,928.9848270000001,929.130749
key.p,929.0427940000001,929.115759
key.backspace,929.6814370000001,929.827352
key.f,929.915337,930.0472460000001
key.space,930.177495,930.3234140000001
key.t,930.4693380000001,930.586488
key.h,930.7173110000001,930.8302610000001
key.e,931.254404,931.356348
key.m,931.357345,931.4292750000001
key.space,931.925414,932.082447
key.w,932.184437,932.316361
key.e,932.4323720000001,932.5362960000001
key.r,932.6961950000001,932.7691530000001
key.e,933.2903660000001,933.4212640000001
key.space,933.669118,933.802041
key.t,934.3517390000001,934.4397080000001
key.e,934.483683,934.570637
key.s,934.71649,934.81843
key.t,934.8624050000001,934.9794310000001
key.space,935.008416,935.1403720000001
key.p,935.403258,935.51553
key.i,935.618456,935.6904300000001
key.l,936.0552960000001,936.1581940000001
key.o,936.2455420000001,936.3484940000001
key.t,936.391471,936.5235110000001
key.s,937.0594500000001,937.161411
key.space,937.219364,937.336448
key.backspace,938.748281,938.908223
key.comma,939.5765990000001,939.6636410000001
key.space,939.8534860000001,939.9554320000001
key.u,940.127376,940.2294700000001
key.s,940.302808,940.419743
key.e,940.5507,940.652626
key.d,940.7845500000001,940.915461
key.space,940.973427,941.1053730000001
key.t,941.320546,941.422626
key.o,941.4515940000001,941.583518
key.space,941.5545450000001,941.699554
key.t,941.758508,941.8604690000001
key.h,941.875473,942.021475
key.e,942.035468,942.138414
key.space,942.152406,942.298493
key.d,943.33144,943.419387
key.a,943.590416,943.6923710000001
key.n,943.7363650000001,943.838326
key.g,943.9992520000001,944.086225
key.e,944.1162,944.2331360000001
key.r,944.350086,944.43807
key.s,944.5839910000001,944.7004270000001
key.space,944.754402,944.8864040000001
key.t,944.9883830000001,945.1194200000001
key.h,945.163395,945.3244320000001
key.a,945.3833830000001,945.514308
key.t,945.499316,945.64574
key.space,945.630749,945.7916710000001
key.c,946.108412,946.196261
key.a,946.3421770000001,946.460145
key.m,946.489127,946.620083
key.e,947.857111,947.974045
key.space,948.0752080000001,948.207434
key.f,948.6112790000001,948.7284890000001
key.r,948.80182,948.918271
key.o,948.9472400000001,949.13818
key.m,949.13818,949.240121
key.space,949.371064,949.4700150000001
key.t,949.5429690000001,949.644929
key.backspace,950.549332,950.575316
key.backspace,950.5893080000001,950.6913790000001
key.p,951.042412,951.1443640000001
key.u,951.349363,951.436313
key.s,951.5822300000001,951.699366
key.h,951.739327,951.826582
key.i,951.8855480000001,952.177396
key.n,952.031464,952.148397
key.backspace,953.3263370000001,953.443704
key.backspace,953.5166620000001,953.6046130000001
key.backspace,953.662578,953.75053
key.backspace,953.823486,953.8964430000001
key.backspace,953.9834050000001,954.0676480000001
key.backspace,954.1845800000001,954.315778
key.space,954.7685700000001,954.9284700000001
key.p,954.958476,955.0605290000001
key.u,955.260293,955.348243
key.s,955.3922170000001,955.5241450000001
key.h,955.5391370000001,955.625391
key.i,955.7579390000001,955.8593870000001
key.n,956.4391680000001,956.5411290000001
key.g,956.5861020000001,956.6880510000001
key.space,956.862955,956.9798870000001
key.t,957.0238800000001,957.1258310000001
key.h,957.1408220000001,957.257768
key.e,957.2867510000001,957.4186830000001
key.space,957.432675,957.5206250000001
key.e,957.589585,957.7065180000001
key.n,957.707517,957.779475
key.v,958.3344430000001,958.4363850000001
key.e,958.5533200000001,958.67025
key.l,958.8262810000001,958.943214
key.o,959.0458850000001,959.2946370000001
key.[,959.527503,959.629445
key.backspace,960.297396,960.399404
key.p,960.63336,960.7353360000001
key.e,960.7363200000001,960.8374150000001
key.period,963.238548,963.341523
key.space,963.395477,963.51241
key.caps_lock,963.687355,963.8183090000001
key.t,963.8623030000001,963.9504410000001
key.caps_lock,963.9514320000001,964.052406
key.h,964.1553530000001,964.257293
key.a,964.286277,964.403123
key.t,964.4326110000001,964.561542
key.space,964.545552,964.7063420000001
key.w,965.709155,965.826354
key.a,966.206845,966.3227780000001
key.s,966.366753,966.4548020000001
key.space,966.7466310000001,966.8345820000001
key.o,967.2824820000001,967.3843650000001
key.n,967.4873190000001,967.590266
key.l,967.720315,967.925325
key.y,968.3153050000001,968.4173270000001
key.space,968.4323350000001,968.5782350000001
key.3,969.479315,969.596307
key.6,969.990489,970.107421
key.space,970.7753550000001,970.877186
key.y,971.1122760000001,971.1992250000001
key.e,971.2863010000001,971.3742500000001
key.a,971.53016,971.633102
key.r,971.6763450000001,971.7793200000001
key.s,971.793312,971.8962740000001
key.space,972.0420750000001,972.1440170000001
key.a,972.217423,972.3341630000001
key.g,972.379172,972.466122
key.o,972.8131860000001,972.871153
key.comma,973.762054,973.859552
key.space,973.903546,974.02047
key.a,974.209371,974.3412860000001
key.n,975.154794,975.257735
key.d,975.2867170000001,975.3886580000001
key.space,975.447623,975.549565
key.s,975.651514,975.7687930000001
key.i,976.275796,976.392728
key.n,976.5086480000001,976.6115870000001
key.c,976.6985400000001,976.8596160000001
key.e,976.8736090000001,977.034515
key.space,977.0784900000001,977.195423
key.t,977.439297,977.5702070000001
key.h,977.541225,977.6731480000001
key.e,977.731129,977.8330480000001
key.n,977.8630290000001,977.9659690000001
key.space,978.111302,978.1842610000001
key.m,978.3881580000001,978.5170840000001
key.u,978.749948,978.837885
key.c,979.0415380000001,979.129167
key.h,979.1431580000001,979.2311070000001
key.space,979.406021,979.493957
key.h,979.581905,979.6948400000001
key.a,979.738814,979.840758
key.s,979.9286910000001,980.059615
key.space,980.1185810000001,980.2205220000001
key.c,980.308472,980.3954100000001
key.h,980.439385,980.5273330000001
key.a,980.6004620000001,980.7024040000001
key.n,980.7034030000001,980.9023040000001
key.g,980.8443380000001,981.04822
key.e,981.1221770000001,981.23811
key.d,981.370034,981.56091
key.period,981.837128,981.939688
key.space,981.954679,982.125581
key.caps_lock,983.7278220000001,983.8737390000001
key.t,983.917712,984.004663
key.caps_lock,984.0346450000001,984.1365890000001
key.o,984.282508,984.409435
key.d,984.438434,984.5413050000001
key.a,984.6572570000001,984.7742890000001
key.y,984.847246,984.9941630000001
key.space,985.416911,985.5441790000001
key.t,985.763049,985.924067
key.h,985.925066,986.0709850000001
key.e,986.128949,986.245882
key.space,986.2748650000001,986.4067900000001
key.caps_lock,987.058669,987.175232
key.a,987.3211910000001,987.4388680000001
key.caps_lock,987.5408120000001,987.6577420000001
key.m,987.80366,987.931584
key.e,987.9745590000001,988.0775000000001
key.r,988.1644650000001,988.2813840000001
key.i,988.4123060000001,988.5292400000001
key.c,988.515247,988.61719
key.a,988.7631050000001,988.880037
key.n,988.865045,988.9679860000001
key.s,989.021955,989.139888
key.space,989.1828620000001,989.2994460000001
key.w,989.781246,989.8981650000001
key.h,989.956131,990.058072
key.o,990.2309710000001,990.346524
key.space,990.5074310000001,990.5653990000001
key.m,990.6973220000001,990.8142550000001
key.a,990.931188,991.0471200000001
key.k,991.0621140000001,991.1640530000001
key.e,991.23801,991.3219630000001
key.space,991.3229610000001,991.3939210000001
key.u,992.080941,992.153899
key.p,992.182897,992.343789
key.space,992.343789,992.485709
key.t,992.6026410000001,992.690592
key.h,992.792546,992.938622
key.e,993.055555,993.1135210000001
key.e,993.3184060000001,993.361379
key.backspace,993.89886,994.0297860000001
key.space,994.102743,994.23467
key.s,994.2636500000001,994.3655910000001
key.h,994.3805830000001,994.511373
key.u,994.74525,994.8582070000001
key.t,995.106926,995.193019
key.t,995.26696,995.3699
key.l,995.544799,995.676724
key.e,995.661731,995.763673
key.space,996.5183040000001,996.621245
key.c,996.7962440000001,996.898263
key.r,997.088193,997.1711640000001
key.e,997.274125,997.3760850000001
key.w,997.5369770000001,997.6399170000001
key.s,997.786274,997.901999
key.space,997.9752490000001,998.1061800000001
key.a,998.135164,998.2388030000001
key.r,998.438702,998.5406280000001
key.e,998.6285770000001,998.788485
key.space,998.8324590000001,998.9932940000001
key.c,999.183203,999.2851300000001
key.o,999.329106,999.5298760000001
key.m,999.500893,999.6321590000001
key.p,999.8070580000001,999.9090020000001
key.r,999.98202,1000.084197
key.o,1000.4938850000001,1000.595365
key.m,1000.752285,1000.854223
key.i,1000.956169,1001.029128
key.s,1001.36608,1001.467021
key.backspace,1002.0911880000001,1002.208205
key.backspace,1002.28115,1002.369097
key.backspace,1002.4420550000001,1002.5290050000001
key.backspace,1002.587973,1002.718911
key.i,1003.0075700000001,1003.1388710000001
key.s,1004.142331,1004.244219
key.e,1004.376168,1004.449141
key.d,1004.6390510000001,1004.7120140000001
key.space,1005.2923720000001,1005.394134
key.o,1005.598515,1005.744445
key.f,1005.949243,1006.0512410000001
key.space,1006.109191,1006.2121330000001
key.e,1006.2701020000001,1006.358195
key.v,1006.4701160000001,1006.573836
key.e,1006.573836,1006.719103
key.r,1006.7041150000001,1006.836037
key.y,1006.8941460000001,1006.9960950000001
key.space,1007.113781,1007.2017310000001
key.r,1007.230715,1007.332656
key.a,1007.8977970000001,1007.9857470000001
key.c,1008.058705,1008.175637
key.e,1008.2196140000001,1008.336494
key.comma,1008.8285430000001,1008.9164920000001
key.space,1008.9454780000001,1009.091392
key.c,1009.2223150000001,1009.3103940000001
key.r,1009.4703000000001,1009.5582700000001
key.e,1009.689193,1009.777141
key.e,1009.865169,1009.978158
key.d,1010.0371240000001,1010.1670570000001
key.comma,1010.737147,1010.825096
key.space,1010.8540150000001,1010.985129
key.c,1011.1130760000001,1011.230077
key.o,1011.2740520000001,1011.3901730000001
key.l,1011.507093,1011.609039
key.o,1011.7559900000001,1011.8299470000001
key.r,1012.194779,1012.2926570000001
key.comma,1012.7594300000001,1012.8763630000001
key.space,1012.9497520000001,1013.0956520000001
key.a,1013.3874930000001,1013.500428
key.b,1013.543403,1013.6463440000001
key.n,1013.5444020000001,1013.6163610000001
key.backspace,1014.3034480000001,1014.434372
key.backspace,1014.55132,1014.664255
key.n,1015.5257580000001,1015.6137080000001
key.d,1015.6866650000001,1015.7845940000001
key.space,1015.7845940000001,1015.8725430000001
key.g,1016.0034830000001,1016.091432
key.e,1016.1354060000001,1016.2234390000001
key.n,1016.2523590000001,1016.353826
key.d,1016.456767,1016.5447180000001
key.e,1016.6026830000001,1016.7925740000001
key.r,1016.778581,1016.9095090000001
key.period,1017.255211,1017.372143
key.space,1017.358151,1017.4890770000001
key.caps_lock,1017.883816,1018.0595010000001
key.a,1018.128462,1018.2743780000001
key.caps_lock,1018.375851,1018.47779
key.d,1019.077033,1019.2079580000001
key.backspace,1019.8615810000001,1019.993506
key.s,1021.7799910000001,1021.896909
key.space,1021.9119000000001,1022.0732380000001
key.o,1023.5872370000001,1023.660195
key.f,1025.550352,1025.6672700000001
key.space,1025.725032,1025.857215
key.caps_lock,1025.974146,1026.092094
key.m,1026.1780430000001,1026.305969
key.caps_lock,1026.261995,1026.363936
key.a,1026.4528850000002,1026.627807
key.y,1026.65679,1026.801991
key.space,1026.9189230000002,1026.977902
key.2,1030.1039620000001,1030.235919
